t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
4761,game,3,,,0,1,,,21,2,,,0,,,ok,1,21,2,1,,,1,10,150
4762,game,3,,,0,1,,,21,2,,,0,,,ok,1,21,2,1,,,1,10,150
4795,game,3,,,0,1,,,21,2,,,0,,,ok,1,22,2,1,,,1,10,150
4847,game,3,,,0,1,,,21,2,211.29,,0,,,ok,1,23,2,1,,,1,10,150
4969,game,3,,,0,1,,,21,2,59.63,211.29,0,right,211.29,ok,1,24,2,1,,,1,10,150
4973,game,3,243.36,,0,1,,,21,2,,211.29,0,right,211.29,ok,1,24,2,1,,,1,10,150
5807,game,3,243.36,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
5811,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
5884,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
5908,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
5933,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
5944,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6065,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6083,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6198,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6221,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6244,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6247,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
